1:3	bgsa				Pour quelles deux choses dans l'église de Thessalonique Paul rend-il grâce à Dieu ?	Paul remercie Dieu pour leur foi croissante et pour leur amour mutuel.

1:4	affh				Quelles sont les circonstances que les croyants endurent à Thessalonique ?	Les croyants endurent des persécutions et des afflictions.

1:5	iisl				Quel sera le résultat positif des circonstances que les croyants endurent ?	Les croyants seront jugés dignes du royaume de Dieu.

1:6-8	f751				Que fera Dieu à ceux qui affligent les croyants ?	Dieu affligera ceux qui affligent les croyants, les punissant par un feu ardent.

1:7	au4m				Quand les croyants seront-ils soulagés de leurs afflictions ?	Les croyants seront soulagés lorsque Jésus-Christ sera révélé du ciel.

1:9	mtma				Combien de temps durera le châtiment de ceux qui ne connaissent pas Dieu ?	Le châtiment de ceux qui ne connaissent pas Dieu sera éternel.

1:9	zsqw				De quoi ceux qui ne connaissent pas Dieu sont-ils séparés dans le cadre de leur punition ?	Ceux qui ne connaissent pas Dieu sont séparés de la présence du Seigneur dans le cadre de leur punition.

1:10	te4i				Que feront les croyants lorsqu'ils verront le Christ venir en son jour ?	Les croyants seront émerveillés par le Christ lorsqu'il viendra en son jour.

1:11-12	xhcf				Quel est le résultat des bonnes œuvres de foi des croyants accomplies dans la puissance de Dieu ?	Le résultat de leurs bonnes œuvres est que le nom du Seigneur Jésus-Christ est glorifié.

2:1	ffb9				Sur quel événement Paul dit qu'il va maintenant écrire ?	Paul dit qu'il va maintenant écrire au sujet de la venue du Seigneur Jésus-Christ.

2:2	jca3				Qu'est-ce que Paul leur dit de ne pas croire ?	Paul leur dit de ne pas croire que le jour du Seigneur est déjà venu.

2:3	cbj7				Selon Paul, qu'est-ce qui doit arriver avant le jour du Seigneur ?	L'effondrement et la révélation de l'homme de l'illégalité doivent avoir lieu avant le jour du Seigneur.

2:4	aenu				Que fait l'homme de l'illégalité ?	L'homme de l'illégalité s'oppose à Dieu et s'élève contre lui, s'asseyant dans le temple de Dieu et se présentant comme Dieu.

2:6-7	m3ei				Quand l'homme de l'illégalité sera-t-il révélé ?	L'homme de l'illégalité sera révélé au moment opportun, lorsque celui qui le retient sera mis hors d'état de nuire.

2:8	v3y7				Que fera Jésus à l'homme de l'illégalité lorsqu'il sera révélé ?	Lorsque Jésus sera révélé, il tuera l'homme de l'illégalité.

2:9	gek1				Qui travaille avec l'homme de l'illégalité pour lui donner de la puissance, des signes et de faux prodiges ?	Satan travaille avec l'homme de l'illégalité pour lui donner de la puissance, des signes et de faux prodiges.

2:10	fdlk				Pourquoi certains sont-ils séduits par l'homme de l'illégalité et périssent-ils ?	Certains sont trompés parce qu'ils n'ont pas reçu l'amour de la vérité, afin d'être sauvés.

2:12	oun0				En quoi se complaisent ceux qui sont trompés et qui périssent ?	Ceux qui sont trompés et qui périssent prennent plaisir à l'iniquité.

2:13-14	mrfp				Qu'est-ce que Dieu a choisi pour que les Thessaloniciens obtiennent par l'évangile ?	Dieu a choisi pour les Thessaloniciens d'obtenir la gloire du Seigneur Jésus-Christ par l'intermédiaire de l'Évangile.

2:15	nrvi				Que demande Paul aux Thessaloniciens de faire maintenant qu'ils ont reçu l'Évangile ?	Paul appelle les Thessaloniciens à rester fermes et à saisir les traditions qui leur ont été enseignées.

2:17	hvs1				En quoi Paul souhaite-t-il que les Thessaloniciens soient établis dans leur cœur ?	Paul désire que les Thessaloniciens soient affermis en toute bonne œuvre et parole.

3:1	adu1				Pour quoi Paul veut-il que les Thessaloniciens prient au sujet de la parole du Seigneur ?	Paul veut que les Thessaloniciens prient pour que la parole du Seigneur se répande rapidement et soit glorifiée.

3:2	l2h7				De qui Paul souhaite-t-il être délivré ?	Paul souhaite être délivré des personnes méchantes et mauvaises qui n'ont pas la foi.

3:4	ogez				Qu'est-ce que Paul dit aux Thessaloniciens de continuer à faire ?	Paul dit aux Thessaloniciens de continuer à faire les choses qu'il leur a commandées.

3:6	edcy				Comment les croyants doivent-ils réagir à tout frère qui marche de manière désordonnée et non selon les traditions qu'ils ont reçues de Paul ?	Les croyants doivent éviter tout frère qui marche de manière désordonnée et non selon les traditions qu'ils ont reçues de Paul.

3:7-8	t5yn				Quel exemple Paul a-t-il donné aux Thessaloniciens concernant son travail et son soutien ?	Paul travaillait nuit et jour, payant sa nourriture, et n'étant un fardeau pour personne.

3:10	ui5r				Qu'est-ce que Paul a ordonné concernant toute personne qui ne veut pas travailler ?	Paul a ordonné que celui qui ne veut pas travailler ne mange pas.

3:12	w1vf				Au lieu d'être paresseux, que commande Paul à ces personnes ?	Paul ordonne aux paresseux de travailler dans le calme et de manger leur propre nourriture.

3:14	peg1				Que doivent faire les frères avec quiconque n'obéit pas aux instructions de Paul dans cette lettre ?	Les frères ne doivent avoir aucune association avec quiconque n'obéit pas aux instructions de Paul dans cette lettre.

3:16	mux2				Qu'est-ce que Paul désire que le Seigneur donne aux Thessaloniciens ?	Paul désire que le Seigneur donne aux Thessaloniciens la paix en tout temps et de toutes les manières.

3:17	g0md				Comment Paul montre-t-il qu'il est l'auteur de cette lettre ?	Paul a écrit la salutation de sa propre main, signe qu'il en est l'auteur.
