1:1	zlc0				De qui Jude était-il le serviteur ?	Jude était un serviteur de Jésus-Christ.

1:1	dbbd				Qui était le frère de Jude ?	Jacques était le frère de Jude.

1:1	i090				A qui Jude a-t-il écrit ?	Il a écrit à ceux qui ont été appelés, aimés en Dieu le Père, et gardés pour Jésus-Christ.

1:2	t12h				Qu'est-ce que Jude voulait multiplier à ceux à qui il écrivait ?	Jude voulait que la miséricorde, la paix et l'amour soient multipliés.

1:3	t5qi				Sur quoi Jude voulait-il d'abord écrire ?	Jude a d'abord voulu écrire sur leur salut commun.

1:3	coa8				Sur quoi Jude a-t-il réellement écrit ?	Jude a en fait écrit sur la nécessité de lutter pour la foi des saints.

1:4	xc1t				Comment sont venus des hommes condamnés et impies ?	Des hommes condamnés et impies sont venus furtivement.

1:4	ctd5				Qu'ont fait les hommes condamnés et impies ?	Ils ont changé la grâce de Dieu en immoralité sexuelle et ont renié Jésus-Christ.

1:5	m9sd				D'où le Seigneur a-t-il autrefois sauvé les gens ?	Le Seigneur les a sauvés du pays d'Égypte.

1:5	hcc5				Qu'a fait le Seigneur à ces personnes qui n'ont pas cru ?	Le Seigneur a détruit ces gens qui n'ont pas cru.

1:6	ch4p				Qu'a fait le Seigneur aux anges qui ont quitté leur place ?	Le Seigneur les a enchaînés dans les ténèbres pour le jugement.

1:7	j0lf				Qu'ont fait Sodome, Gomorrhe et les villes alentour ?	Ils forniquaient et poursuivaient des désirs contre nature.

1:8	zdpy				Comme Sodome, Gomorrhe et les villes qui les entourent, que font les hommes condamnés et impies ?	Ils polluent leur corps dans leurs rêves, rejettent l'autorité, et disent des choses mauvaises.

1:9	qhrw				Qu'a dit l'archange Michel au diable ?	L'archange Michael a dit : "Que le Seigneur te réprimande."

1:12	tntd				Pour qui les hommes condamnés et impies se soucient-ils sans vergogne ?	Ils prennent soin d'eux-mêmes sans vergogne.

1:14	rzvf				Enoch était à quel endroit dans la lignée d'Adam ?	Hénoch était le septième de la lignée d'Adam.

1:15	f0ib				Sur qui le Seigneur exécutera-t-il le jugement ?	Le Seigneur exécutera le jugement sur tous les peuples.

1:16	olau				Qui sont les hommes impies qui seront condamnés ?	Ceux qui rouspètent, ceux qui se plaignent, ceux qui poursuivent leurs mauvais désirs, ceux qui se vantent bruyamment, et ceux qui louent pour leur avantage personnel sont les hommes impies qui seront condamnés.

1:17	un2i				Qui a parlé dans le passé des moqueurs ?	Les apôtres du Seigneur Jésus-Christ ont prononcé des paroles dans le passé au sujet des moqueurs.

1:19	s41h				Que dire des moqueurs qui vont après leurs propres désirs impies, qui provoquent des divisions et qui sont sensuels ?	Ils n'ont pas le Saint-Esprit.

1:20	ph3n				Comment les bien-aimés s'édifiaient-ils et priaient-ils ?	Les bien-aimés s'édifiaient dans leur foi très sainte, et priaient dans l'Esprit Saint.

1:21	xqvv				Quels étaient les bien-aimés à garder et à rechercher ?	Les bien-aimés devaient se renfermer sur eux-mêmes et rechercher l'amour de Dieu et la miséricorde du Seigneur Jésus-Christ.

1:22-23	co8y				Qui les bien-aimés étaient-ils censés sauver ?	Les bien-aimés étaient censés sauver ceux dont le vêtement était taché par la chair, et ceux qui étaient dans le feu.

1:24-25	k9o9				Qu'est-ce que Dieu, leur Sauveur, par Jésus-Christ leur Seigneur, a pu faire ?	Dieu a pu les empêcher de trébucher et les placer devant la présence de sa gloire sans tache.

1:25	lrs1				Quelles sont les choses que l'on doit donner au seul Dieu notre Sauveur par Jésus-Christ notre Seigneur ?	Au seul Dieu notre Sauveur, par Jésus-Christ notre Seigneur, soient la gloire, la majesté, la puissance et l'autorité.

1:25	boa6				Quand Dieu a-t-il eu la gloire ?	Dieu a eu la gloire avant tous les temps, maintenant et à jamais.
