1:1	j4tb				Où est Paul lorsqu'il écrit cette lettre ?	Paul est en prison lorsqu'il écrit cette lettre.

1:1	uc8d				À qui cette lettre est-elle adressée ?	Cette lettre est écrite à Philémon, le cher ami et compagnon de travail de Paul.

1:2	l9of				Dans quel genre d'endroit l'église se réunit-elle ?	L'église se réunit dans une maison.

1:5	w3it				De quelles bonnes caractéristiques Paul a-t-il entendu parler à propos de Philémon ?	Paul a entendu parler de l'amour de Philémon, de sa foi dans le Seigneur et de sa fidélité envers tous les saints.

1:7	nrj7				Selon Paul, qu'a fait Philémon pour les saints ?	Philémon a rafraîchi le cœur des saints.

1:9	rljm				Pourquoi Paul demande-t-il quelque chose à Philémon au lieu de le commander ?	Paul demande à Philémon par amour.

1:10	chck				Comment Paul appelait-il Onésime ?	Paul appelait Onésime son enfant.

1:10	uld7				Où était Paul quand il est devenu le père d'Onésime ?	Paul était enchaîné, en prison.

1:12	n1m6				Qu'a fait Paul avec Onésime ?	Paul a renvoyé Onésime à Philémon.

1:13	ur59				Où se trouve Paul lorsqu'il écrit cette lettre ?	Paul est en prison lorsqu'il écrit cette lettre.

1:13	vfsf				Qu'est-ce que Paul voudrait qu'Onésime soit capable de faire ?	Paul voudrait qu'Onésime puisse l'aider.

1:14	ev0c				Pourquoi Paul ne voulait-il pas agir sans le consentement de Philémon ?	Paul voulait que la bonne action de Philémon soit un choix personnel et non une contrainte imposée par l'action de Paul.

1:15	lrs0				Pourquoi Paul a-t-il dit qu'Onésime a pu être séparé de Philémon ?	Paul dit qu'Onésime a peut-être été séparé de Philémon pour que celui-ci puisse le récupérer pour toujours, c'est-à-dire comme un frère éternel en Christ.

1:16-17	bf75				Comment Paul veut-il maintenant que Philémon considère Onésime ?	Paul veut que Philémon considère Onésime comme un frère bien-aimé.

1:18	rxt0				Que veut Paul que Philémon fasse pour tout ce qu'Onésime lui doit ?	Paul veut que Philémon mette sur le compte de Paul tout ce qui est dû par Onésime.

1:19	gkdl				Que doit Philémon à Paul ?	Philémon doit à Paul sa propre vie.

1:22	ku0t				Que veut Paul que Philémon fasse pour lui ?	Paul veut que Philémon lui prépare une chambre d'hôte.

1:22	th25				Pourquoi Paul veut-il que Philémon fasse cela ?	Paul espère que Dieu le renverra à Philémon.
