1:1	y5pp				Quel était le but de Paul dans son service à Dieu ?	Son but était d'établir la foi du peuple élu de Dieu et d'établir la connaissance de la vérité.

1:2	ymzh				Quand Dieu a-t-il promis la vie éternelle à son peuple élu ?	Il le leur a promis avant tous les âges du temps.

1:2	eauf				Est-ce que Dieu ment ?	Non.

1:3	sens				A qui Dieu a-t-il confié sa proclamation au bon moment ?	Dieu l'a confié à l'apôtre Paul.

1:4	mzu9				Quelle était la relation entre Titus et Paul ?	Titus était comme un vrai fils pour Paul à cause de leur foi commune.

1:6	r6iy				Comment doivent être la femme et les enfants d'un ancien ?	Il doit être l'époux d'une seule femme et avoir des enfants fidèles qui ne sont pas accusés de comportement imprudent ou de rébellion.

1:7	m2kk				Quels sont les traits de caractère qu'un ancien doit éviter afin d'être irréprochable ?	Il ne doit pas être arrogant ou facilement colérique ou dépendant du vin ou bagarreur ou cupide.

1:7	utuv				Quelle est la position et la responsabilité d'un surveillant dans la maison de Dieu ?	Il est comme le chef de famille de Dieu.

1:8	b1wn				Quelles sont les bonnes qualités que doit avoir un ancien ?	Un ancien doit être hospitalier, ami de ce qui est bon, raisonnable, juste, saint et maître de soi.

1:9	bb4z				Quelle doit être l'attitude d'un ancien à l'égard du message qu'on lui a enseigné ?	Il doit s'y tenir fermement, et ainsi, être capable d'encourager et de réprimander les autres.

1:11	fu01				Que faisaient les faux enseignants par leur enseignement ?	Ils bouleversaient des ménages entiers.

1:11	zqwf				Que voulaient les faux enseignants ?	Ils voulaient un profit honteux.

1:13	ncbn				Comment un ancien doit-il traiter ces faux enseignants qui nuisent à l'église ?	Il doit les réprimander sévèrement pour qu'ils soient solides dans la foi.

1:14	l4re				A quoi Paul a-t-il dit qu'ils ne devaient pas faire attention ?	Ils ne doivent pas prêter attention aux mythes juifs et aux commandements des hommes.

1:15	n9lr				Dans un homme incroyant, qu'est-ce qui est corrompu ?	Son esprit et sa conscience sont corrompus.

1:16	feiw				Bien que l'homme corrompu professe connaître Dieu, comment le renie-t-il ?	Il renie Dieu par ses actions.

2:2	l08x				Quelles sont les caractéristiques que devraient avoir les hommes âgés dans l'église ?	Ils doivent être tempérants, dignes, raisonnables et solides dans la foi, l'amour et la persévérance.

2:3	piyt				Quelles sont les caractéristiques que devraient avoir les femmes âgées dans l'église ?	Ils doivent être respectueux, sobres, ne pas être des calomniateurs, être des enseignants de ce qui est bon.

2:4	ccz2				Qu'est-ce que les femmes plus âgées doivent apprendre aux plus jeunes à faire ?	Ils doivent leur apprendre à aimer et à obéir à leur mari, et à aimer leurs enfants.

2:7	jlut				Comment Tite doit-il se présenter comme un exemple de bonnes œuvres ?	Dans son enseignement, il doit être irréprochable, agir avec dignité et délivrer un message sain, au-dessus de toute critique.

2:8	idm5				Qu'arrivera-t-il à ceux qui s'opposent à Titus s'il est un bon exemple ?	Ceux qui s'opposent à lui auront honte car ils n'ont rien de mauvais à dire sur lui.

2:9	v4mn				Comment doivent se comporter les esclaves qui sont croyants ?	Ils doivent obéir à leurs maîtres, être agréables, et ne doivent pas discuter.

2:10	rmsh				Lorsque les esclaves chrétiens se comportent comme Paul l'a demandé, quel effet cela aura-t-il sur les autres ?	Cela donnera du crédit à l'enseignement sur Dieu notre Sauveur.

2:11	n5o4				Qui la grâce de Dieu peut-elle sauver ?	La grâce de Dieu peut sauver tout le monde.

2:12	o3ri				Qu'est-ce que la grâce de Dieu nous entraîne à rejeter ?	La grâce de Dieu nous entraîne à rejeter l'impiété et les passions mondaines.

2:13	ytj1				Quel événement futur les croyants attendent-ils avec impatience de recevoir ?	Les croyants attendent avec impatience de recevoir la bienheureuse espérance : l'apparition de la gloire de notre grand Dieu et Sauveur Jésus-Christ.

2:14	fk1b				Pourquoi Jésus s'est-il donné pour nous ?	Il s'est donné lui-même afin de nous racheter de l'illégalité et de purifier pour lui un peuple zélé pour les bonnes œuvres.

3:1	i6ns				Quelle doit être l'attitude du croyant envers les dirigeants et les autorités ?	Le croyant doit se soumettre à eux et leur obéir, et être prêt pour toute bonne œuvre.

3:3	zgen				Qu'est-ce qui égare les non-croyants et les rend esclaves ?	Leurs diverses passions et plaisirs les égarent et les asservissent.

3:5	cerb				Par quel moyen Dieu nous a-t-il sauvés ?	Il nous a sauvés par le lavage de la nouvelle naissance et le renouvellement par le Saint-Esprit.

3:5	vfdd				Sommes-nous sauvés grâce aux bonnes œuvres que nous avons accomplies ou grâce à la miséricorde de Dieu ?	Nous sommes sauvés uniquement grâce à la miséricorde de Dieu.

3:7	tclv				Après nous avoir justifiés, que Dieu nous fait-il devenir ?	Dieu nous fait devenir ses héritiers.

3:8	cvv3				Qu'est-ce que les croyants doivent faire attention à faire ?	Les croyants doivent veiller à faire les bonnes œuvres.

3:9	lgio				Que doivent éviter les croyants ?	Les croyants doivent éviter les débats insensés, les généalogies, les querelles et les conflits concernant la loi religieuse.

3:10	lapn				Qui devons-nous rejeter après un ou deux avertissements ?	Nous devrions rejeter une personne qui sème la discorde.

3:14	i5lu				Dans quoi les croyants doivent-ils s'engager pour être fructueux ?	Les croyants doivent apprendre à s'engager dans la réalisation de bonnes œuvres qui permettent de subvenir aux besoins essentiels.
